VertexID,Rank
1764,0.000241
33,0.000239
3823,0.000197
338,0.000145
3,0.000139
1113,0.000133
1511,0.000128
952,0.000124
6908,0.000118
7307,0.000112
127,0.000112
4972,0.000109
3504,0.000108
853,0.000107
2371,0.000105
736,0.000105
69,0.000100
1454,0.000099
155,0.000099
7438,0.000096
