VertexID,Rank
33,0.000253
1764,0.000236
3823,0.000183
338,0.000152
3,0.000140
1511,0.000135
1113,0.000134
853,0.000126
952,0.000122
127,0.000113
2371,0.000110
7307,0.000109
6908,0.000109
4972,0.000107
155,0.000106
1882,0.000102
736,0.000100
7438,0.000097
69,0.000095
3504,0.000094
